id,Country,ne_50m_admin_0_countries_lakes_adm0_a3,var1_usersper100,var2_avgconnection,var3_politicalrights,var4_civilib,var5_politcalfiltr
1,Afghanistan,AFG,6.39,1121,6,6,0
2,Albania,ALB,60.1,5751,3,3,no data
3,Algeria,DZA,18.09,2062,6,5,0
4,Andorra,AND,95.9,13662,1,1,no data
5,Angola,AGO,21.26,2113,6,6,no data
6,Antigua & Barbuda,ATG,64,2053,2,2,no data
7,Argentina,ARG,64.7,4675,2,2,no data
8,Armenia,ARM,46.3,3870,5,4,3
9,Australia,AUS,84.56,8154,1,1,0
10,Austria,AUT,81,12349,1,1,no data
11,Azerbaijan,AZE,61,3631,7,6,2
12,Bahrain,BHR,90.99998,4370,7,6,4
13,Bangladesh,BGD,9.6,2664,4,4,0
14,Barbados,BRB,76.67,6058,1,1,no data
15,Belarus,BLR,59.02,6907,7,6,2
16,Belgium,BEL,85,14171,1,1,no data
17,Belize,BLZ,38.7,2367,1,2,no data
18,Benin,BEN,5.3,1136,2,2,no data
19,Bhutan,BTN,34.37,2407,3,4,no data
20,Bolivia,BOL,39.02,1991,3,3,no data
21,Bosnia and Herzegovina,BIH,60.8,6892,4,3,no data
22,Botswana,BWA,18.5,1353,3,2,no data
23,Brazil,BRA,57.6,4136,2,2,no data
24,Brunei,BRN,68.77,4118,6,5,no data
25,Bulgaria,BGR,55.49,13252,2,2,no data
26,Burkina Faso,BFA,9.4,639,4,3,no data
27,Burundi,BDI,1.38,3556,7,6,no data
28,Cambodia,KHM,9,4368,6,5,no data
29,Cameroon,CMR,11,1701,6,6,no data
30,Canada,CAN,87.12,13125,1,1,0
31,Cape Verde,CPV,no data,4534,1,1,no data
32,Central African Republic,CAF,4.03,861,7,7,no data
33,Chad,TCD,2.5,1162,7,6,no data
34,Chile,CHL,72.35,6148,1,1,no data
35,China,CHN,49.3,4117,7,6,4
36,Colombia,COL,52.57,4454,3,4,0
37,Comoros,COM,6.98,893,3,4,no data
